date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:46:06	50342/50342	---M-Z	200	added ('OK')	text/html	etag:%22c4a6-63e883d4d7d7d-gzip%22	https://xscore.site/	C:/Users/Vodan/Desktop/xs/xs/xscore.site/index.html	(from )
23:46:07	1338/1338	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b52-63d66e9c4d5dc%22	https://xscore.site/robots.txt		(from )
23:46:08	123381/123381	---M-Z	200	added ('OK')	text/css	etag:W/%221e1f5-48QJs2Ev7WXpvZWlpyTMbKw/aZY%22	https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.css	C:/Users/Vodan/Desktop/xs/xs/cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.css	(from https://xscore.site/)
23:46:09	43531/43531	---M--	200	added ('OK')	image/jpeg	etag:%2268bff7ea-aa0b%22	https://xscore.site/logo.jpg	C:/Users/Vodan/Desktop/xs/xs/xscore.site/logo.jpg	(from https://xscore.site/)
23:46:09	464044/464044	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22714ac-CiopwP0x9yIWSblEu5pKdO2qlLc%22	https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.eot?t=1690730386070	C:/Users/Vodan/Desktop/xs/xs/cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicone85e.eot	(from https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.css)
23:46:09	143720/143720	---M--	200	added ('OK')	font/woff2	etag:W/%2223168-v1UW3MYZ+EWM8MIIc0fjGC2QYss%22	https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.woff2?t=1690730386070	C:/Users/Vodan/Desktop/xs/xs/cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicone85e.woff2	(from https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.css)
23:46:10	197616/197616	---M--	200	added ('OK')	font/woff	etag:W/%22303f0-rM/LUtnhLTt5yJU8ubPBmHq5jpg%22	https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.woff?t=1690730386070	C:/Users/Vodan/Desktop/xs/xs/cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicone85e.woff	(from https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.css)
23:46:10	463872/463872	---M-Z	200	added ('OK')	font/ttf	etag:W/%2271400-wR4nCRcfFB5zDk5LmNvE006tVkM%22	https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.ttf?t=1690730386070	C:/Users/Vodan/Desktop/xs/xs/cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicone85e.ttf	(from https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.css)
23:46:10	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.css)
23:46:10	2173685/2173685	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22212af5-Lv0OklH63ZwTJRQIxK51aCK/dAA%22	https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.svg?t=1690730386070	C:/Users/Vodan/Desktop/xs/xs/cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicone85e.svg	(from https://cdn.jsdelivr.net/npm/remixicon@3.5.0/fonts/remixicon.css)
